id_transacao,id_cliente,cpf,valor,tipo,banco_origem,banco_destino,data,data_part
d1499b9f-d9fb-44ff-b49c-c44553f99686,45e2ee30-7b12-4ad5-b42f-4a2890069d78,813.547.296-09,2679.83,PIX,033,033,2025-06-11 23:50:41.670562,2025-06-11
c4dbd570-169d-43b0-8266-417335d51d4a,a1639106-a9da-4531-bd6c-743ffcfe0e55,673.541.280-07,3009.61,Cartão,033,001,2025-06-11 22:53:58.856806,2025-06-11
0e350bd4-688b-4f92-ab23-219344dd9df6,326bc55b-631f-475a-b8a7-12b58ba801bf,657.302.914-34,21.7,DOC,237,237,2025-06-11 22:18:14.961471,2025-06-11
207016e2-55ec-4f6b-8d89-bc212e7513fc,f6f48814-8a33-4948-b3b7-71a59f896190,654.283.971-28,7729.1,PIX,237,033,2025-06-11 23:04:12.980361,2025-06-11
ea0fcb16-b501-4eb2-91f3-da4301711d6d,5d668ad6-cf87-4d18-a821-592a5456eff5,179.345.602-06,3650.1,PIX,341,237,2025-06-11 22:46:50.000679,2025-06-11
49d32a1b-ff4d-4d88-8cc6-f76bba87c87a,4a730da9-5630-4733-8aef-f2d3b8292a22,427.601.538-35,5035.57,TED,104,237,2025-06-11 22:32:47.432055,2025-06-11
c6fd8c6b-f4ae-4a42-ad26-7b2cd4a5341d,9ade5a14-9765-46f4-b5ea-22c9fd02035b,065.489.723-92,3555.05,Cartão,237,341,2025-06-11 22:38:53.316034,2025-06-11
1083917c-4759-41e4-b988-8ee38081665e,93b66b78-5008-4d8d-a789-4c6df405013d,863.402.197-13,2828.12,DOC,033,104,2025-06-11 23:19:12.295095,2025-06-11
0a1f226b-ad53-4b4b-82fd-28bd33f3dd89,517abb79-6b9b-4ac2-8fd0-e35e03c91b30,672.498.503-00,766.85,TED,001,237,2025-06-11 23:06:30.604637,2025-06-11
1da1cab6-77a9-485e-819c-927a0e2dc24f,9610c38c-d10a-43b6-bcfa-0de1c8672bf5,126.490.538-60,3086.21,Cartão,033,237,2025-06-11 22:41:11.563427,2025-06-11
cb2432f4-1ce1-4b08-8ac2-bf1ead355a5e,1471f32f-98a7-4cec-9dc1-dc1cfa6b3301,120.648.539-60,6058.78,TED,033,104,2025-06-11 22:39:49.880218,2025-06-11
38d63558-e7b1-4ad1-ac83-6c43d1e44852,0008cb08-c56f-4f7a-a48a-f6e7ff05b3af,403.671.825-80,3154.81,Cartão,237,341,2025-06-11 22:28:18.908926,2025-06-11
0977e9d8-8a3a-4f5c-824f-5136fccf93f5,1fa9cf3a-0722-4415-821f-fe4b0ab450fb,274.958.063-38,3021.65,PIX,033,033,2025-06-12 19:03:11.838947,2025-06-12
6c640d67-9cca-40b4-baa4-1d8c5a97e719,69c2e31b-a5b7-4fae-b9b6-e0e40000b7eb,016.453.897-66,1295.66,PIX,001,237,2025-06-12 15:02:10.469390,2025-06-12
93071d3b-cc07-467a-940c-6a7adaab74d9,2bd740a1-6194-43e1-84b8-7c6671e5138b,963.140.578-84,305.73,DOC,033,237,2025-06-12 04:38:25.822235,2025-06-12
3038c764-1f07-411d-bc42-52cf81adc34e,18c01890-bdb3-4630-9257-ed40af04f94f,938.157.260-77,5560.7,TED,104,033,2025-06-12 09:27:04.913767,2025-06-12
dce2a98d-be8c-4647-a700-b182c5e51471,9bf84d9b-ad99-4ce6-b8fa-1606683b04e8,042.375.961-25,763.36,DOC,341,033,2025-06-12 04:14:22.615523,2025-06-12
8f0a6350-2feb-43b8-ab7b-c56fd907459b,97680141-9440-4af5-b7b7-fec0b35d18e8,458.627.103-53,7025.5,Cartão,341,237,2025-06-12 05:10:50.776313,2025-06-12
e2f35570-07e3-4243-b541-8dd90f31e9ee,8698bfa3-7ee6-48c8-b8d7-f681d4780639,486.971.230-03,2100.14,TED,001,001,2025-06-12 19:26:14.291892,2025-06-12
faa1afa9-1c78-428b-8dee-f31871e4d675,887c3540-ae23-4327-a0c5-e0be1ccb8e87,713.640.982-96,5485.39,Cartão,033,341,2025-06-12 20:09:12.494938,2025-06-12
686f3320-4aaf-43b9-8c10-cbb6bc2a78c5,bc211453-0816-4905-9dd0-93af230c0428,098.314.657-84,435.77,Cartão,001,237,2025-06-12 15:44:54.194293,2025-06-12
4252be4a-e7a8-4a3e-9565-6498c8e61431,a0328ffe-4f4b-4b61-8d60-92997d5bb2f7,193.458.276-09,4233.25,PIX,341,237,2025-06-12 19:03:52.912806,2025-06-12
7856ad4b-5340-4095-ad3c-a23b2d9e721c,a23ccdd1-d758-4102-ba6d-1601ea8efe65,650.731.482-07,6882.39,TED,237,001,2025-06-12 17:42:37.663688,2025-06-12
